Opened,Closed,Updated,Status,Responsible Agency,Category,Neighborhood,Source
05/27/2016 10:19:03 AM,,06-02-2016 12:00,Open,DPW BSM Queue,Sidewalk or Curb,Chinatown,Open311
05/27/2016 02:45:47 PM,,06-02-2016 12:00,Open,DPW BSM Queue,Illegal Postings,Financial District,Open311
07/30/2015 10:15:33 AM,08-07-2015 13:04,08-07-2015 13:04,Closed,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,Mission,Voice In
08/15/2015 12:25:30 PM,11-03-2015 10:08,11-03-2015 10:08,Closed,DPT Meter_Bike Queue,Damaged Property,Nob Hill,Voice In
07/30/2015 10:37:49 AM,08/13/2015 04:19:11 PM,08/13/2015 04:19:11 PM,Closed,MUNI Work Queue,MUNI Feedback,Civic Center,Voice In
07/30/2015 10:38:19 AM,07/30/2015 11:10:58 AM,07/30/2015 11:10:58 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
02/18/2016 10:40:34 AM,,03-01-2016 14:48,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Civic Center,Web Self Service
02/18/2016 12:29:25 PM,,03-01-2016 08:22,Open,DPW Ops Queue,Graffiti Private Property,Mission,Voice In
07/30/2015 10:39:12 AM,08-03-2015 07:25,08-03-2015 07:25,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
07/30/2015 10:51:04 AM,07/31/2015 08:16:09 AM,07/31/2015 08:16:09 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Web Self Service
07/14/2015 04:59:24 PM,07/15/2015 06:12:09 PM,07/15/2015 06:12:09 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
12/18/2015 04:53:38 AM,02-05-2016 02:10,02-05-2016 02:10,Closed,DPW Ops Queue,Tree Maintenance,South of Market,Integrated Agency
07/30/2015 10:51:08 AM,07/30/2015 12:44:02 PM,07/30/2015 12:44:02 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Mission,Web Self Service
05/30/2016 03:12:10 PM,06-02-2016 06:09,06-02-2016 06:09,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,South of Market,Open311
07/14/2015 05:01:15 PM,11-03-2015 10:17,11-03-2015 10:17,Closed,DPT Meter_Bike Queue,Damaged Property,North Beach,Voice In
07/16/2015 01:48:50 PM,07/17/2015 03:56:38 PM,07/17/2015 03:56:38 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Open311
07/16/2015 02:36:06 PM,07/17/2015 11:41:57 AM,07/17/2015 11:41:57 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/16/2015 02:36:54 PM,07/17/2015 09:58:32 AM,07/17/2015 09:58:32 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/16/2015 02:59:06 PM,07/17/2015 11:33:02 AM,07/17/2015 11:33:02 AM,Closed,MUNI Work Queue,MUNI Feedback,Civic Center,Voice In
07/30/2015 11:00:58 AM,08-05-2015 07:58,08-05-2015 07:58,Closed,DPT Paint Shop Queue,Graffiti Private Property,Mission,Voice In
07/29/2015 11:31:13 PM,07/30/2015 07:06:54 AM,07/30/2015 07:06:54 AM,Closed,DPW Ops Queue,Graffiti Private Property,Chinatown,Web Self Service
02/20/2016 12:19:44 PM,,03-01-2016 11:15,Open,DPW Ops Queue,Graffiti Private Property,South of Market,Integrated Agency
07/30/2015 11:14:04 AM,07/30/2015 03:53:26 PM,07/30/2015 03:53:26 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Web Self Service
02/21/2016 11:50:37 AM,,03-01-2016 12:00,Open,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03-11-2016 15:34,03/14/2016 02:18:20 PM,03/14/2016 02:18:20 PM,Closed,SFMTA - Muni System Feedback Queue,Graffiti Public Property,Civic Center,Open311
07/30/2015 12:23:51 AM,08/13/2015 11:33:20 AM,08/13/2015 11:33:20 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/30/2015 12:05:37 PM,07/30/2015 12:35:52 PM,07/30/2015 12:35:52 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Voice In
07/30/2015 12:05:54 PM,08-01-2015 14:12,08-01-2015 14:12,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Russian Hill,Voice In
02/22/2016 01:41:35 PM,,03-01-2016 14:49,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Financial District,Voice In
05/31/2016 11:02:11 AM,06-03-2016 08:16,06-03-2016 08:16,Closed,DPT - Traffic Signal - G,Streetlights,Mission,Open311
03-10-2016 16:24,,03/14/2016 11:07:51 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
05/31/2016 11:16:06 AM,06-02-2016 06:19,06-02-2016 06:19,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Mission,Web Self Service
07/30/2015 01:21:31 PM,08-05-2015 01:10,08-05-2015 01:10,Closed,DPW Ops Queue,Graffiti Private Property,North Beach,Integrated Agency
07/30/2015 02:08:42 PM,07/30/2015 07:12:14 PM,07/30/2015 07:12:14 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Web Self Service
02/22/2016 04:19:20 PM,,03-01-2016 08:34,Open,DPW Ops Queue,Graffiti Private Property,Mission,Open311
05/31/2016 12:17:04 PM,06-02-2016 05:56,06-02-2016 05:56,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/16/2015 03:11:12 PM,07/16/2015 03:52:14 PM,07/16/2015 03:52:14 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Voice In
05/31/2016 12:48:53 PM,,06-02-2016 10:12,Open,Recology_Litter,Litter Receptacles,Civic Center,Open311
08/15/2015 05:04:13 PM,08/16/2015 09:10:01 AM,08/16/2015 09:10:01 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Nob Hill,Voice In
08/15/2015 06:22:00 PM,08/16/2015 09:12:13 AM,08/16/2015 09:12:13 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,Russian Hill,Voice In
06-01-2016 05:31,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
06-01-2016 05:35,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
02/23/2016 11:35:24 AM,,03/23/2016 02:38:23 PM,Open,DPT SignShop Surveyed - Area 1 Queue,Sign Repair,Chinatown,Open311
06-01-2016 06:40,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
06-01-2016 07:47,06-02-2016 12:00,06-02-2016 12:00,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
06-01-2016 07:53,,06-02-2016 12:00,Open,DPW BSM Queue,Blocked Street or SideWalk,North Beach,Open311
03-11-2016 07:49,03/14/2016 05:53:57 AM,03/14/2016 05:53:57 AM,Closed,Clear Channel - Transit Queue,Graffiti Public Property,Mission,Voice In
03-11-2016 07:53,03/14/2016 05:53:37 AM,03/14/2016 05:53:37 AM,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,South of Market,Open311
02/23/2016 04:30:14 PM,,03-01-2016 10:12,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
01/20/2016 10:19:10 AM,01/21/2016 01:54:58 AM,01/21/2016 01:54:58 AM,Closed,DPW Ops Queue,Sewer Issues,South of Market,Voice In
07/30/2015 08:14:11 AM,08-01-2015 15:14,08-01-2015 15:14,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
03-11-2016 08:28,,03/14/2016 08:25:44 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
02/23/2016 05:55:31 PM,03-01-2016 05:23,03-01-2016 05:23,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,South of Market,Web Self Service
03-11-2016 09:01,03/14/2016 11:08:40 AM,03/14/2016 11:08:40 AM,Closed,PUC Sewer Ops,Sewer Issues,Financial District,Voice In
03-11-2016 09:03,03/14/2016 05:52:19 AM,03/14/2016 05:52:19 AM,Closed,Clear Channel - Transit Queue,Damaged Property,Mission,Voice In
03-11-2016 09:27,03/14/2016 01:32:07 PM,03/14/2016 01:32:07 PM,Closed,PUC Sewer Ops,Sewer Issues,Civic Center,Open311
05/31/2016 01:23:44 PM,06-02-2016 10:28,06-02-2016 10:28,Closed,PUC Sewer Ops,Sewer Issues,South of Market,Integrated Agency
05/31/2016 01:40:13 PM,06-02-2016 02:46,06-02-2016 02:46,Closed,DPW Ops Queue,Blocked Street or SideWalk,South of Market,Open311
07/30/2015 08:30:47 AM,07/31/2015 06:45:05 AM,07/31/2015 06:45:05 AM,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,Nob Hill,Web Self Service
03-11-2016 10:03,03/15/2016 02:05:52 PM,03/15/2016 02:05:52 PM,Closed,DPT Meter_Bike Queue,Damaged Property,Civic Center,Voice In
03-11-2016 10:14,03/14/2016 09:32:02 AM,03/14/2016 09:32:02 AM,Closed,SFMTA - Residential Parking Permit Program Queue,General Requests,Mission,Voice In
02/23/2016 09:24:30 PM,03-01-2016 05:45,03-01-2016 05:45,Closed,DPT Abandoned Vehicles Work Queue,Abandoned Vehicle,South of Market,Web Self Service
03-11-2016 10:31,03/14/2016 09:08:23 AM,03/14/2016 09:08:23 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
05/31/2016 02:24:50 PM,06-02-2016 01:08,06-02-2016 01:08,Closed,DPW Ops Queue,Graffiti Public Property,Civic Center,Open311
03-11-2016 10:48,,03/14/2016 09:44:18 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Mission,Voice In
07/30/2015 09:25:24 AM,07/30/2015 12:44:15 PM,07/30/2015 12:44:15 PM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Voice In
03-11-2016 11:28,03/14/2016 02:36:57 PM,03/14/2016 02:36:57 PM,Closed,Police - Homeless Concerns Queue,General Requests,South of Market,Open311
03-11-2016 12:07,,03/14/2016 11:11:21 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Voice In
07/30/2015 09:39:17 AM,08-01-2015 15:28,08-01-2015 15:28,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03-11-2016 12:11,,03/14/2016 10:43:39 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,Nob Hill,Web Self Service
07/16/2015 04:17:05 PM,07/17/2015 03:57:22 PM,07/17/2015 03:57:22 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
07/30/2015 09:55:11 AM,07/30/2015 12:36:44 PM,07/30/2015 12:36:44 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
07/30/2015 03:21:30 PM,07/31/2015 07:41:53 AM,07/31/2015 07:41:53 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Integrated Agency
03-01-2016 09:35,,03-01-2016 11:09,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Voice In
07/30/2015 03:21:33 PM,07/31/2015 07:40:36 AM,07/31/2015 07:40:36 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Integrated Agency
07/14/2015 04:43:36 PM,07/15/2015 04:35:00 AM,07/15/2015 04:35:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Open311
07/14/2015 04:45:37 PM,07/16/2015 06:40:00 AM,07/16/2015 06:40:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Web Self Service
03-11-2016 13:02,03/14/2016 05:50:43 AM,03/14/2016 05:50:43 AM,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,South of Market,Voice In
03-11-2016 13:05,,03/14/2016 09:43:02 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Web Self Service
03-11-2016 13:14,,03/14/2016 09:42:02 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Web Self Service
05/31/2016 05:08:34 PM,06-02-2016 09:21,06-02-2016 09:21,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/30/2015 03:21:42 PM,10/21/2015 08:22:50 AM,10/21/2015 08:22:50 AM,Closed,DPW Ops Queue,Graffiti Private Property,Mission,Integrated Agency
03-11-2016 14:09,03/14/2016 09:31:41 AM,03/14/2016 09:31:41 AM,Closed,PUC Sewer Ops,Catch Basin Maintenance,Mission,Voice In
08/16/2015 12:00:14 PM,08/28/2015 12:27:18 PM,08/28/2015 12:27:18 PM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
03-11-2016 14:13,,03/14/2016 08:30:27 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Web Self Service
05/31/2016 05:21:18 PM,06-02-2016 09:35,06-02-2016 09:35,Closed,MUNI Work Queue,MUNI Feedback,Mission,Voice In
03-11-2016 14:17,,03/14/2016 08:28:52 AM,Open,SFMTA - Temporary Sign Request Installation/Enforcement Queue,Temporary Sign Request,South of Market,Web Self Service
03-11-2016 14:26,,03/14/2016 10:00:00 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Chinatown,Open311
07/14/2015 04:52:46 PM,07/14/2015 08:47:25 PM,07/14/2015 08:47:25 PM,Closed,311 Supervisor Queue,Street and Sidewalk Cleaning,Civic Center,Web Self Service
03-11-2016 14:44,,03/14/2016 08:15:00 AM,Open,DPW Ops Queue,Street and Sidewalk Cleaning,Nob Hill,Voice In
07/14/2015 04:53:50 PM,07/16/2015 10:55:05 AM,07/16/2015 10:55:05 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
03-11-2016 14:55,03/14/2016 09:13:41 AM,03/14/2016 09:13:41 AM,Closed,MUNI Work Queue,MUNI Feedback,South of Market,Voice In
07/14/2015 04:54:51 PM,07/15/2015 09:36:14 AM,07/15/2015 09:36:14 AM,Closed,PUC Sewer Ops,Sewer Issues,Chinatown,Voice In
03-11-2016 15:04,03/14/2016 07:01:38 AM,03/14/2016 07:01:38 AM,Closed,DPT SignShop 03 Queue,Sign Repair,Chinatown,Open311
07/14/2015 04:55:29 PM,07/15/2015 01:06:00 AM,07/15/2015 01:06:00 AM,Closed,DPW BUF Queue,Tree Maintenance,South of Market,Voice In
07/29/2015 03:59:06 PM,07/30/2015 09:15:55 AM,07/30/2015 09:15:55 AM,Closed,DPW Ops Queue,Graffiti Private Property,North Beach,Web Self Service
07/29/2015 04:17:03 PM,07/30/2015 10:51:03 AM,07/30/2015 10:51:03 AM,Closed,Recology_Abandoned,Street and Sidewalk Cleaning,South of Market,Voice In
08/16/2015 12:00:58 PM,08/17/2015 01:00:00 AM,08/17/2015 01:00:00 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Voice In
07/29/2015 04:48:00 PM,07/30/2015 12:43:11 PM,07/30/2015 12:43:11 PM,Closed,DPT - Other - G,General Requests,South of Market,Voice In
07/14/2015 04:24:43 PM,07/15/2015 05:49:06 AM,07/15/2015 05:49:06 AM,Closed,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,North Beach,Open311
03-09-2016 03:19,03/14/2016 03:41:48 PM,03/14/2016 03:41:48 PM,Closed,MUNI Work Queue,MUNI Feedback,Financial District,Voice In
08/16/2015 12:27:10 PM,08/26/2015 11:30:18 AM,08/26/2015 11:30:18 AM,Closed,DPT Meter_Bike Queue,Damaged Property,South of Market,Voice In
07/14/2015 04:24:48 PM,07/15/2015 08:39:00 AM,07/15/2015 08:39:00 AM,Closed,SFMTA - Temporary Sign Request Queue,Temporary Sign Request,South of Market,Voice In
03-09-2016 06:52,03/14/2016 09:13:55 AM,03/14/2016 09:13:55 AM,Closed,PUC Sewer Ops,Sewer Issues,South of Market,Voice In
07/29/2015 05:36:05 PM,07/30/2015 05:00:07 PM,07/30/2015 05:00:07 PM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,Mission,Twitter
03-09-2016 08:21,03/14/2016 03:49:24 PM,03/14/2016 03:49:24 PM,Closed,MUNI Work Queue,MUNI Feedback,Financial District,Voice In
07/29/2015 06:38:46 PM,07/30/2015 01:37:44 AM,07/30/2015 01:37:44 AM,Closed,DPW Ops Queue,Street and Sidewalk Cleaning,South of Market,Voice In
