,custcode,custname1,custareacode,fincustgrp,custaddress,currency
44,CU1A01130,ALCOND EMPLOYEES INDUSTRIAL,21,1,ALCOND EMPLOYEES INDUSTRIAL CO-OPERATIVE SOCIETY LTD 47 HIDE ROAD EXTENSION  CALCUTTA ,IND
45,CU1A01132,AUTOLEC CAR CARE,11,1,"AUTOLEC CAR CARE  337 Y (I)BLOCK PETROLIUM LINE HAMERPUR,KLOWAI NAGAR KANPUR",IND
46,CU1A01134,ADITA MOTORS,11,1,ADITA MOTORS (MARUTHI AUTHORISED SERVICE) STATION- IOC PETROL PUMP NH-2-KOST KALAN NATHURA ,IND
47,CU1A01286,ASIAN STEELS,51,1,ASIAN STEELS  OPP:PRAKASAM WEIGH BRIDGE PALAKKAD MAIN ROAD KARUMBUKKADAI COIMBATORE,IND
48,CU1B00287,BRIJENDRA TRADERS,34,1,BRIJENDRA TRADERS     ,IND
49,CU1B00288,BABA SAHEB NAIK KAPUS UTPADAK,31,1,BABA SAHEB NAIK KAPUS UTPADAK SAHAKARI SOOT GIRNI   YEOTMAL ,IND
50,CU1B00289,BASF INDIA LIMITED,41,1,"BASF INDIA LIMITED  GARUDA BUILDING 4TH FLOOR,NO 104,CATHEDRAL RD CHENNAI ",IND
51,CU1B00291,BD KHANDASARI SUGAR MILL,42,1,BD KHANDASARI SUGAR MILL LIMITED    ,IND
52,CU1B00292,BAY SHIPPING CO PRIVATE LIMITED,41,1,"BAY SHIPPING CO PRIVATE LIMITED  8 CENTURY COURT,II STREET KASTURI ESTATE CHENNAI ",IND
53,CU1B00293,BIMETAL BEARINGS LIMITED,41,1,BIMETAL BEARINGS LIMITED  STRIP MILL PLANT SEMBIAM CHENNAI ,IND
54,CU1B00294,BALAKRISHNAN V M,51,1,"BALAKRISHNAN V M  E.C.02045, MACHINE SHOP ELGI EQUIPMENTS LIMITED COIMBATORE ",IND
55,CU1B00295,BARAUNI PAPER INDUSTRIES PRIVATE,21,1,BARAUNI PAPER INDUSTRIES PRIVATE LIMITED   BEGUSARAI ,IND
56,CU1B00340,B S TUBEWELL COMPANY,11,1,B S TUBEWELL COMPANY  26 DDA FLATS SARVAPRIYA VIHAR NEW DELHI ,IND
57,CU1B00341,BISHNAUTH TEA COMPANY LIMITED,21,1,BISHNAUTH TEA COMPANY LIMITED    CALCUTTA ,IND
58,CU1B00342,BIHAR ALLOY STEELS LIMITED,21,2,BIHAR ALLOY STEELS LIMITED    CALCUTTA ,IND
59,CU1B00343,BK JAISWAL  H U F,21,1,BK JAISWAL  H U F    CALCUTTA ,IND
60,CU1B00344,BHATTACHARJEE AND COMPANY,21,1,BHATTACHARJEE AND COMPANY    CALCUTTA ,IND
61,CU1B00345,BHANDARI SALES CORPORATION,21,1,BHANDARI SALES CORPORATION    CALCUTTA ,IND
62,CU1B00346,BIPJAY  TRADERS,21,1,BIPJAY  TRADERS    CALCUTTA ,IND
63,CU1B00347,B.E.PUMPS PRIVATE LIMITED,21,1,B.E.PUMPS PRIVATE LIMITED    CALCUTTA ,IND
64,CU1B00391,BORSARA MACHINES,33,1,"BORSARA MACHINES A DIVISION OF HIMSON TEXTILE ENGINEERING INDUS. LTD A&P. MAOTBORSARA,KIM STATION SURAT ",IND
65,CU1B00392,BHAGWAN SINGH GEHLOT,12,1,"BHAGWAN SINGH GEHLOT  S/O GYAN SINGH GEHLOT LALA KA BARA, MANDORE JODHPUR ",IND
66,CU1B00350,BEARING AND MACHINERY AGENCIES,21,1,BEARING AND MACHINERY AGENCIES    CALCUTTA ,IND
67,CU1B00351,BHAKAT BROTHERS SERVICING CENTRE,21,1,BHAKAT BROTHERS SERVICING CENTRE    CALCUTTA ,IND
68,CU1B00352,BRAKES INDIA LIMITED,41,1,"BRAKES INDIA LIMITED   UNIT-64,NEAR MELMARUVATHUR KANCHEEPURAM, POLAMBAKKAM-603309",IND
69,CU1B00353,BALAJI ENGINEERS & CONTRACTORS,33,1,"BALAJI ENGINEERS & CONTRACTORS  11/3, PATEL COLONY NEHRU NAGAR JAMNAGAR ",IND
70,CU1B00355,BHASKAR INDUSTRIES LIMITED,34,1,"BHASKAR INDUSTRIES LIMITED  PLOT NO.15-16, SECTOR D INDUSTRIAL AREA, MANDIDEEP RAISEN ",IND
71,CU1A01135,ABC ENGG WORKS,42,1,ABC ENGG WORKS BLOCK NO G 20 PLOT NO 23/24-IIND ROAD JAWAHAR AUTONAGAR VIYAYAWADA ,IND
72,CU1A01419,AVIRAM KNITERS,51,1,"AVIRAM KNITERS  34-A,P N ROAD 2ND STREET TIRUPUR ",IND
73,CU1A03104,AMBICA MAMRA PAVA FACTORY,33,1,AMBICA MAMRA PAVA FACTORY  DHOLKA ROAD BAVLA AHMEDABAD ,IND
74,CU1A03105,AARTI AGRO INDUSTRIES,33,1,AARTI AGRO INDUSTRIES  NANIDEVTI SANAND-BAVLA ROAD AHMEDABAD ,IND
75,CU1A03106,AUTO NEEDS,11,1,"AUTO NEEDS  PLOT NO :4147 IDC, OPPO. SEC-14 GURGAON HARYANA",IND
76,CU1A03107,AMBIKA KNITS PVT LTD,11,1,"AMBIKA KNITS PVT LTD  PLOT NO:260,SECTOR-7 I M T MANASAR HARYANA ",IND
77,CU1A99999,ARVILSELVI P,45,5,ARVILSELVI P  W/O PRABHAKARAN P NO 11-2ND STREET VILLIANUR MAIN ROAD PONDICHERRY,IND
78,CU1A01300,ABHIKAPAN HONDA,34,1,ABHIKAPAN HONDA  PATWA CITY AUTOMOBILES PVT LTD 409-416 BHOPAL ,IND
79,CU1A01301,ASHOKKUMAR  M,45,1,"ASHOKKUMAR  M  NO 2,MARIAMMAN KOIL STREET PUDUKUPPAM PONDICHERRY ",IND
80,CU1A01302,ARVILSELVI P,45,1,"ARVILSELVI P W/O PRABHAKARAN NO 11 2ND STREET VILLIANUR,MAIN ROAD PONDICHERY ",IND
81,CU1A01304,AUTOFINA PEROXIDES INDIA PVT LTD,45,1,"AUTOFINA PEROXIDES INDIA PVT LTD  FIRST FLOOR, BALMER LAWRIA HOUSE ANNA SALAI,TEYNAMPET CHENNAI",IND
82,CU1A01305,AIR SUPREME (PTY)LTD,691,3,"AIR SUPREME (PTY)LTD  42,ROSETTENVILLE RD VILLAGE MAIN JOHANNESB URG 2001,PO BOX 260828 EXCOM2023",USD
83,CU1A01306,ARATI ENTERPROISES,21,1,ARATI ENTERPROISES  KESINGA ROAD N H 201 BHAWANIPATNA ,IND
84,CU1A01308,ATLANTIL FABRICS,51,1,"ATLANTIL FABRICS  NO 7,SENGUNTHAPURAM 5 TH CROSS KARUR ",IND
85,CU1B00349,BHARAT  LAKSHMI NURSERY,21,1,BHARAT  LAKSHMI NURSERY    CALCUTTA ,IND
86,CU1B00168,BALKRISHNA NARAHAR THAKUR AUTO,31,1,"BALKRISHNA NARAHAR THAKUR AUTO COMMERCE ORMUZ ROAD P O BOX NO.52, PANJIM GOA ",IND
87,CU1B00169,BATTENFELD INDIA LIMITED,34,1,BATTENFELD INDIA LIMITED 4 TH FLOOR  KAMDHENU OPPOSITE SALES INDIA OFFICE ASHRAM ROAD AHMEDABAD ,IND
88,CU1B00171,BHARAT UDYOG KENDRA,34,1,BHARAT UDYOG KENDRA  A D MIDC SHIROLI KOLAPUR ,IND
89,CU1A01311,ATUL BOREWELLS,45,1,ATUL BOREWELLS  PROP:DHANASEKARAN NEW STREET MADUKKARAI PONDICHERRY ,IND
90,CU1A01313,ANAND EXPORTS,54,1,"ANAND EXPORTS  3/969,KUMARAN STREET AVATHIPALAYAM AGRAHARAM POST ERODE",IND
91,CU1A01314,ASHISH MACHINERY STORES,31,1,ASHISH MACHINERY STORES  9/10/11 SIDDHI TOWER MALEGAON STAND PANCHAVATI NASHIK-1,IND
92,CU1A01315,ARIHANT ALLOYS,11,1,"ARIHANT ALLOYS  G T ROAD,SIRHINT SYED MANDI GOBINDGAR PUNJAB HARYANA",IND
93,CU1B00356,BUNDI-CHITTORGARH CHETRIYA,12,1,BUNDI-CHITTORGARH CHETRIYA GRAMIN BANK  SATUR BRANCH SATUR ,IND
94,CU1B00176,BHANU AGRO PLAST PRIAVE LIMITED,11,1,"BHANU AGRO PLAST PRIAVE LIMITED  G1 RIICO INDUSTRIAL AREA JUREHRA, BHARATPUR NEW DELHI ",IND
95,CU1B00177,BELMAKS AUTOMOTIVES LIMITED,11,1,"BELMAKS AUTOMOTIVES LIMITED  D-9,PANKI INDUSTRIAL ESTATE SITE-1 KANPUR (U.P) ",IND
96,CU1B00178,BINANI CEMENTS,12,1,BINANI CEMENTS    UDAIPUR ,IND
97,CU1B00179,BANK OF BARODA,54,1,BANK OF BARODA    NAMAKKAL ,IND
98,CU1B00180,BRIDGESTONE ACC INDIA LIMITED,34,1,BRIDGESTONE ACC INDIA LIMITED  16 LAD COLONY Y N ROAD BHOPAL ,IND
99,CU1B00182,BHATIA TEXTURSERS PRIVATE LIMITED,33,1,"BHATIA TEXTURSERS PRIVATE LIMITED  SHREE RAM MANDIR ROAD B/H OLD PETROL PUMP, UDHNA SURAT ",IND
100,CU1A01333,AJAYKUMAR SINGH,45,1,"AJAYKUMAR SINGH  NO 8,KOODAPAKKAM ROAD VILLIANUR ROAD PONDICHEERY ",IND
101,CU1B00003,BALAJI INDUSTRIAL PRODUCTS LIMITED,12,1,BALAJI INDUSTRIAL PRODUCTS LIMITED  48 INDUSTRIAL AREA JHOTWARA JAIPUR ,IND
102,CU1A01294,AMALRAJ M,45,1,"AMALRAJ M  NO 81,MAIN ROAD ODIENPET PONDICHEERY ",IND
103,CU1A01295,A M FORGE INDUSTRIES LTD,11,1,A M FORGE INDUSTRIES LTD  12/2 AMTHURA ROAD  FARIADABAD ,IND
104,CU1A01296,ANNADURAI R,45,1,"ANNADURAI R  S/O RENGARAJ NO42,MUTHUMARIAMAN KOIL STREET PONDICHEERY ",IND
105,CU1A01297,ASHOK KUMAR B,45,1,ASHOK KUMAR B    PONDICHERY ,IND
106,CU1A01298,AKSHIT AUTO AGENCIES,34,1,AKSHIT AUTO AGENCIES  1&2 PAINI COMPLEX PARASIA ROAD CHHINDWARA BHOPAL,IND
107,CU1A01433,ASSOCIATED INDUSTRIES,51,1,"ASSOCIATED INDUSTRIES  TS NO 17,SIDCO INDL ESTATE KURICHI COIMBATORE ",IND
108,CU1A01309,ALLWIN EXPORTERS,51,1,"ALLWIN EXPORTERS  KOSAVAN THOTTAM KARAIPUDUR VILLAGE CHINNAKARAI,ARULPURAM POST TIRUPUR",IND
109,CU1B00199,BEECHIN'S CREATION PRIVATE LIMITED,51,1,BEECHIN'S CREATION PRIVATE LIMITED  86 MANGALAM ROAD KARUVAMPALAYAM TIRUPPUR ,IND
110,CU1B00200,BARCO ELECTRONIC SYSTEMS (P) LTD,11,1,BARCO ELECTRONIC SYSTEMS (P) LTD  A-4 SECTOR-5 GAUTAM BUDH NAGAR NOIDA (U P) ,IND
111,CU1B00201,BALAJI SPUNTEX PRIVATE LIMITED,11,1,BALAJI SPUNTEX PRIVATE LIMITED  PASINA KALAN G T ROAD PANIPAT HARYANA,IND
112,CU1B00203,BROADWAY OVERSEAS LIMITED,11,1,BROADWAY OVERSEAS LIMITED  G T ROAD SURANUSSI JALANDHAR PUNJAB,IND
113,CU1B00204,BANGALORE METROPOLITAN TRANSPORT CO,43,1,BANGALORE METROPOLITAN TRANSPORT RPORATION  CORPORATION K H ROAD BANGALORE-560027,IND
114,CU1A01344,ARAVALLII KNITTING MILLS PVT LTD,51,1,"ARAVALLII KNITTING MILLS PVT LTD  128,MANGALAM ROAD  TIRUPUR ",IND
115,CU1A01345,AGARVAL CLEARING PVT LTD,43,1,"AGARVAL CLEARING PVT LTD  409,PUNEET VRINDAVAN SANJAY PLACE AGRA ",IND
116,CU1B00065,BHAGYALAKSHMI SERVICE STATION,42,1,BHAGYALAKSHMI SERVICE STATION  NANDASEN TALUKA KADI MEHSENA ,IND
117,CU1B00066,BHAGYANAGAR METALS LIMITED,42,1,"BHAGYANAGAR METALS LIMITED  PLOT NO A/3 BLOCK III IDA, UPPAL HYDERABAD ",IND
118,CU1B00067,BHAKRA BEAS MANAGEMENT BOARD,11,1,BHAKRA BEAS MANAGEMENT BOARD  IRRIGATION WING NANGAL TOWNSHIP RUP NAGAR ,IND
119,CU1B00068,BHANDARI MARBLES PRIVATE LIMITED,12,1,BHANDARI MARBLES PRIVATE LIMITED  MAKRANA ROAD BORAWAR NAGAUR ,IND
120,CU1B00070,BHANNUMATIBEN CHANDRAKANT SINGAPURI,33,1,BHANNUMATIBEN CHANDRAKANT SINGAPURI  271 GIDC PANDESARA SURAT ,IND
121,CU1B00071,BHANUBHAI DESAI AND COMPANY PRIVATE,21,1,BHANUBHAI DESAI AND COMPANY PRIVATE LIMITED 63A BENTINOK STREET  KOLKATA ,IND
122,CU1B00072,BHARAT AUTO SCAN,43,1,BHARAT AUTO SCAN  892/1 PB ROAD  BELGAUM ,IND
123,CU1B00732,BHUDEO KHADYA UDOYOG PVT LTD,613,3,BHUDEO KHADYA UDOYOG PVT LTD  GOLCHA HOUSE GANABAHAP KATHMANDU NEPAL,IND
124,CU1B00733,B S MOTORS,21,1,"B S MOTORS   NO 1,BORPATHAR TINALI DIBRUGARH 786602",IND
125,CU1B00734,BOOBALAN R,45,1,BOOBALAN R     PONDICHEERY,IND
126,CU1B00735,BURJI SPEED ON CLUTCHES,43,1,"BURJI SPEED ON CLUTCHES  C-47,5TH CROSS 1 ST STAGE PEENYA INDL AREA BANGALORE",IND
127,CU1B00736,BABA MOTORS,34,1,BABA MOTORS  UNOW ROAD  DAITA (MP) ,IND
128,CU1B00738,BHARAT SHELL LIMITED,41,1,"BHARAT SHELL LIMITED  167,KODAMBAKKAM HIGH ROAD OPP PALMOROVE HOTEL CHENNAI ",IND
129,CU1B00700,BHARAHI V,42,1,BHARAHI V D.NO B-6-20-/1 ASHOKNAGAR OLD GAJUVAKA  VIZAG-23 HYDERABAD,IND
130,CU1C00242,COMPUTER SKILL LIMITED,33,1,"COMPUTER SKILL LIMITED  PLOT NO 213, NANDALI KALOL TALUKA MEHSANA ",IND
131,CU1C00243,CIMMCO BIRLA LIMITED,12,1,CIMMCO BIRLA LIMITED  WAGON DIVISION  BHARATPUR ,IND
132,CU1C00244,COOPER FOUNDRY PRIVATE LIMITED,34,1,COOPER FOUNDRY PRIVATE LIMITED  L 3 ADDITIONAL M I D C  SATARA ,IND
133,CU1C00247,CHADHA RUBBER LIMITED,11,1,"CHADHA RUBBER LIMITED  VILL:NAIPURA,GAJRAULA  J P NAGAR ( U P) ",IND
134,CU1C00248,CRAFTSMAN AUTOMATION PRIVATE LTD,51,1,"CRAFTSMAN AUTOMATION PRIVATE LTD   ANNUR ROAD ARASUR 123/4,SANGOTHIPALAYAM ROAD COIMBATORE-641407-TN",IND
135,CU1C00249,CLEAN CAT CONVEYORS PRIVATE LIMITED,31,1,CLEAN CAT CONVEYORS PRIVATE LIMITED  3 A LOBO MANSION P C DONGRI ROAD VASCO (GOA) ,IND
136,CU1B00405,BHAVANI TREADS,51,1,BHAVANI TREADS  11-6/178 KARAMADAI ROAD  METTUPALAYAM ,IND
137,CU1B00716,BHARANI TUBEWELL,45,1,"BHARANI TUBEWELL  NO 2,IST CROSS VASANTH NAGAR PONDICHERRY ",IND
138,CU1B01044,BIMAL AUTO AGENCY,43,1,"BIMAL AUTO AGENCY INDIA PVT LTD   60/2,CHAND TOWER MAHADEVAPURA WHITEFIELD ROAD BANGALORE - 560 048",IND
139,CU1B01045,BALAJI MOTORS,43,1,"BALAJI MOTORS  NO:229,GOKULAM MAIN ROAD  MYSORE ",IND
140,CU1B01046,BLOW PET PVT LIMITED,41,1,"BLOW PET PVT LIMITED  NO 283,SIDCO INDUSTRIAL ESTATE AMBATTUR CHENNAI ",IND
141,CU1B01048,BEFNA AUTO CARS (INDIA)PVT LTD,11,1,BEFNA AUTO CARS (INDIA)PVT LTD  DECCAN HONDA OPP SHANKAR MAHARAJ MATH DHANKAWADI PUNE,IND
142,CU1B01049,BHARATH ROCK DRILLS,45,1,"BHARATH ROCK DRILLS  NO 11,MAIN ROAD ARUMBATHAPURAM PONDICHERRY ",IND
143,CU1B01050,BHARATHI INDUSTRIES,51,1,BHARATHI INDUSTRIES  108 ATHIPALAYAM ROAD  CHINNAVEDAMPATTY COIMBATORE,IND
144,CU1C00181,COLOUR CHEM LIMITED,31,1,"COLOUR CHEM LIMITED  RAVINDRA ANNEXE 194,CHURCHGATE RECLAMATION MUMBAI ",IND
145,CU1B00724,BASKAR N,45,1,"BASKAR N  NO81,MAWDAIVELI STREET  SEDARAPET PONDICHERRY",IND
146,CU1B00725,BHARAT RAJ YADAV,12,1,BHARAT RAJ YADAV  VPO:KALA KHARI  JHUNJHUNU RAJASTHAN,IND
147,CU1B00726,BAJAJ MOTORS,12,1,"BAJAJ MOTORS  F=131,MALVIYA NAGAR INDUSTRIAL AREA JAIPUR ",IND
148,CU1B00727,BANUREKA GARMENTS,51,1,"BANUREKA GARMENTS  9,MGR NAGAR P N ROAD TIRUPUR ",IND
149,CU1B01054,BARAKATH ENGINEERING INDUSTRIES,52,1,"BARAKATH ENGINEERING INDUSTRIES PVT LTD C-10,DEVELOPED PLOTS ESTATE THUVAKUDI TIRUCHIRAPALLI ",IND
150,CU1C00001,COASTAL PNEUMATIC AGENCIES,42,6,"COASTAL PNEUMATIC AGENCIES 38-4-5 MONTISSORY COLLEGE ST.  38-4-5 MONTISSORY COLLEGE ST. OPP. ALL INDIA RADIO STATION BANDAR ROAD,VIJAYAWADA-520010",IND
151,CU1C00009,CASTROL INDIA LIMITED,31,7,CASTROL INDIA LIMITED C/O BHOPAL TYRE HOUSE HAMIDA ROAD  BHOPAL ,IND
152,CU1B00089,BHARAT KRIMA,31,1,BHARAT KRIMA  7/8 GADDA NIWAS MASJID BUNDER MUMBAI ,IND
153,CU1B00090,BHARAT KRIMP,31,1,"BHARAT KRIMP  121/P 66, H V ROAD OPP.ELECTRICAL OFFICE, PIPARIS SILVASSA ",IND
154,CU1B00091,BHARAT KRISHI YANTRALAYA,11,2,BHARAT KRISHI YANTRALAYA  KUMHER GATE EXHIBITION ROAD  BHARATPUR ,IND
155,CU1B00092,BHARAT MOTORS LIMITED,21,1,BHARAT MOTORS LIMITED  61 MANCHESWAR IND.ESTATE  BHUBANESHWAR ,IND
156,CU1B00093,BHARAT TRACTORS,12,1,BHARAT TRACTORS  G S ROAD  BIKANER ,IND
157,CU1B00094,BHASKAR BOREWELLS,33,1,"BHASKAR BOREWELLS  GELBHAI BHOJBHAI KHACHAR VILLAGE KARIYANI, TALUKA BOTAD BHAVNAGAR ",IND
158,CU1B00227,BALAJEE ENGINEERS & CONTRACTORS,33,1,"BALAJEE ENGINEERS & CONTRACTORS  A/24 SANJAY MANSION, 3rd FLOOR BHANGWADI, 448 KALBADEVI ROAD MUMBAI ",IND
159,CU1B00406,BEE KAY ENTERPRISES,11,1,BEE KAY ENTERPRISES  G-8 SITE V KASNA SURAJPUR GAUTAM BUDH NAGAR (U P) ,IND
160,CU1B00602,BALAMURUGAN PACK MACHINERES,41,1,"BALAMURUGAN PACK MACHINERES  NO 26,BAGGIYATHAMNAL III CROSS STREET, PADI CHENNAI",IND
161,CU1B00740,BAGGA LINK MOTORS LTD,11,1,"BAGGA LINK MOTORS LTD (AUTHORISED MARUTI DEALERS) 395,PATPAR GANJ INDL ESTATE NEAR VIKAS MARG DELHI ",IND
162,CU1B00742,BHARATH ELECTRONICS LTD,43,1,BHARATH ELECTRONICS LTD (TRANSPORT DIVISION) JALAHALLI PO  BANGALORE ,IND
163,CU1B00743,BAJRANG MOTORS,11,1,BAJRANG MOTORS  RAMPUR ROAD HALDWANI UP ,IND
164,CU1B00745,BHARATH AGARWAL D,45,1,"BHARATH AGARWAL D  NO 45,MURUGAN KOIL STREET CHETTIPET PONDICHERRY ",IND
165,CU1B00746,BUISHI YADA MOTORS,21,1,BUISHI YADA MOTORS  A SECTOR NAHARLAGUN ARUNACHALPRADESH-791 110 ,IND
166,CU1B01051,BHARAT ARTS & CRAFTS,12,1,"BHARAT ARTS & CRAFTS  28/5,HEAVY INDUSTRIAL AREA JODHPUR RAJASTHAN ",IND
167,CU1C00028,CARBORANDUM UNIVERSAL LIMITED,43,1,CARBORANDUM UNIVERSAL LIMITED  POST BOX NO.1 WEST KANJIKODE PALAKKAD ,IND
168,CU1C00029,CARDWELL SPINNING MILLS PRIVATE LIM,51,1,"CARDWELL SPINNING MILLS PRIVATE LIM ITED `RAJANARAYAN TOWERS,PB NO.4503 PUDUPPALAYAM, NGGO COLONY COIMBATORE ",IND
169,CU1B00460,BHARATBHAI MEGJIBHAI KAKADHA,33,1,BHARATBHAI MEGJIBHAI KAKADHA  DANGERWADA VIA LODHIKA RAJKOT ,IND
